epoch,train_loss,test_loss,mean_iou,seconds
1,1.8494205474853516,0.9881693720817566,0.07394705643326377,46.425002574920654
2,0.7377542853355408,0.5053391456604004,0.2398593959044544,42.11362600326538
3,0.4247117042541504,0.3245045244693756,0.41295891153329606,41.885488748550415
4,0.290622353553772,0.25661951303482056,0.5309256261963567,41.057148694992065
5,0.2485116422176361,0.23303642868995667,0.546195825057809,40.807146072387695
6,0.20509152114391327,0.20061220228672028,0.5971262534901032,40.782195806503296
7,0.1887505054473877,0.19312971830368042,0.6129598660175765,40.720425844192505
8,0.1793728619813919,0.18731479346752167,0.6261467682846725,40.7729856967926
9,0.15958550572395325,0.17537619173526764,0.6460951101888588,40.62006902694702
10,0.1538851410150528,0.1698395162820816,0.6469586255396144,41.16501975059509
11,0.137809619307518,0.16187575459480286,0.6697237987150384,40.67789626121521
12,0.13768672943115234,0.16678205132484436,0.6650184129777355,40.53834414482117
13,0.1311539262533188,0.15551351010799408,0.6850662990367617,40.50583243370056
14,0.11858631670475006,0.15598829090595245,0.6795848882656312,41.038979053497314
15,0.11709936708211899,0.15561068058013916,0.6811010234276451,41.60058856010437
16,0.11208093166351318,0.1532057821750641,0.6879059487659273,41.62630248069763
17,0.10481220483779907,0.14786796271800995,0.6926110612617254,41.4798264503479
18,0.10258976370096207,0.15090729296207428,0.6927383310220416,40.97093057632446
19,0.10267288982868195,0.14761114120483398,0.7027762683990008,40.5944128036499
20,0.09665729850530624,0.14285747706890106,0.7111169894903587,40.53168177604675
21,0.09661857783794403,0.14213702082633972,0.7111272368970367,40.66578269004822
22,0.09812899678945541,0.14341269433498383,0.7120986827123893,40.52733850479126
23,0.09442539513111115,0.14840330183506012,0.7001280596498184,40.64495778083801
24,0.08453190326690674,0.14352935552597046,0.711095492619691,40.5733208656311
25,0.08456666767597198,0.13932961225509644,0.7187075427887742,40.745792865753174
26,0.08226323872804642,0.13946783542633057,0.7213426374697558,40.59601879119873
27,0.09178587049245834,0.15430881083011627,0.6933464525345896,40.56746482849121
28,0.08521492779254913,0.14429332315921783,0.7147226370475819,40.699233293533325
29,0.08130691945552826,0.14524638652801514,0.7126220327195466,40.47993278503418
30,0.07846496999263763,0.13862866163253784,0.7263895937682134,40.559932708740234
31,0.0820622593164444,0.14198771119117737,0.7174914682480437,40.55068063735962
32,0.07809726893901825,0.14250119030475616,0.7200761543952103,40.5378942489624
33,0.07625623047351837,0.13960987329483032,0.725233797654559,40.51256489753723
34,0.07120993733406067,0.13698376715183258,0.731183637313021,40.62452483177185
35,0.068532794713974,0.1366351991891861,0.7366052557019651,41.958202600479126
36,0.06879051774740219,0.13818123936653137,0.7350134641127897,40.837653160095215
37,0.0700116902589798,0.1420254111289978,0.7322309947177739,40.3494668006897
38,0.06678839027881622,0.13625845313072205,0.7368918574795157,40.513126850128174
39,0.06502602994441986,0.14604860544204712,0.7262501858913072,40.373849868774414
40,0.06310692429542542,0.1429302990436554,0.7342008053823491,40.454949378967285
41,0.06431850790977478,0.14693225920200348,0.7204332421292904,40.89421010017395
42,0.06351607292890549,0.1416153758764267,0.7371682156647571,41.036450147628784
43,0.06208779662847519,0.14399230480194092,0.7321181384534483,40.71620965003967
44,0.0653831958770752,0.14750784635543823,0.7268974763026029,40.47479033470154
45,0.06484951078891754,0.1454847902059555,0.7360910820977175,40.77315926551819
46,0.05965461581945419,0.14208468794822693,0.7346987517099958,41.387859582901
47,0.05948790907859802,0.1454988718032837,0.7285490533267165,40.5679886341095
48,0.05848623067140579,0.13546274602413177,0.7465934052474539,40.72385120391846
49,0.056268125772476196,0.14443491399288177,0.7369588154244673,40.664995193481445
50,0.056983381509780884,0.13860784471035004,0.7443240865096746,40.53098177909851
51,0.06772617250680923,0.1470201164484024,0.7337457525980771,40.54741835594177
52,0.06492011249065399,0.14665444195270538,0.7284580815089271,40.735382080078125
53,0.06087657809257507,0.1422983705997467,0.7399301287078945,40.575666189193726
54,0.054689496755599976,0.1384391039609909,0.7460607310603862,40.51436948776245
55,0.057999592274427414,0.13993175327777863,0.7432541084226802,40.92250990867615
56,0.05933453515172005,0.1457614153623581,0.7351430628597397,40.60778880119324
57,0.05335940793156624,0.14061293005943298,0.7486968524262034,40.72365212440491
58,0.05234973877668381,0.14128491282463074,0.7471395182152907,40.64536643028259
59,0.05143417790532112,0.14442822337150574,0.7416369052799414,40.531614780426025
60,0.04986761137843132,0.146826833486557,0.7392371743713517,40.52031135559082
61,0.0514347068965435,0.14827300608158112,0.7378811240100841,40.564244747161865
62,0.05127263814210892,0.14166931807994843,0.7441570940465432,40.595231771469116
63,0.049996040761470795,0.14405560493469238,0.7462695126446763,40.52227520942688
64,0.05019279569387436,0.14369967579841614,0.7460227475931499,40.68304777145386
65,0.045637499541044235,0.14606191217899323,0.7461455721246147,40.75567030906677
66,0.048780374228954315,0.144225612282753,0.7459549510680308,40.50587344169617
67,0.04539804905653,0.14469605684280396,0.7506314396122693,40.68008041381836
68,0.04736241698265076,0.14912518858909607,0.7429441072242701,40.408233404159546
69,0.04523760452866554,0.14249642193317413,0.7517045126020541,40.654196977615356
70,0.04771718382835388,0.14777866005897522,0.7491392553579992,40.60033702850342
71,0.04940364137291908,0.14836335182189941,0.744782250956658,40.560385942459106
72,0.04884310066699982,0.14390960335731506,0.7550632587428625,40.695809841156006
73,0.045977119356393814,0.1438807249069214,0.7528070753716245,40.64919686317444
74,0.0458882711827755,0.1497008204460144,0.7491732879809666,40.77511715888977
75,0.04364851117134094,0.14693006873130798,0.7523660075573284,40.83885407447815
76,0.044282179325819016,0.14533691108226776,0.7535895556129883,40.58140563964844
77,0.04583641141653061,0.15137411653995514,0.7435321245072918,40.46805500984192
78,0.04303344339132309,0.14844048023223877,0.7509078137262044,40.44599103927612
79,0.04278505966067314,0.1474679857492447,0.7529774043264554,40.682467222213745
80,0.04521360248327255,0.15021739900112152,0.7505535281289054,40.515564918518066
81,0.04311493784189224,0.14730486273765564,0.759061336809189,40.71504259109497
82,0.04477071017026901,0.14792992174625397,0.7521458866131312,41.059722661972046
83,0.043923743069171906,0.15573737025260925,0.7472757798395327,40.53199124336243
84,0.043649859726428986,0.149117112159729,0.7508275473215685,40.38625478744507
85,0.043189726769924164,0.1527487188577652,0.7481121829803318,40.52954936027527
86,0.04075777158141136,0.15023159980773926,0.7489798309315523,40.23772096633911
87,0.040090110152959824,0.152055025100708,0.7528891012873955,40.4250328540802
88,0.0422067865729332,0.14753207564353943,0.7559945765011148,40.6291241645813
89,0.03967507928609848,0.1523907482624054,0.747125575239306,40.559165477752686
90,0.038994573056697845,0.15192344784736633,0.7519072394668853,40.46642231941223
91,0.039261382073163986,0.15260547399520874,0.7537527701784873,41.04923152923584
92,0.03753679245710373,0.15271547436714172,0.7510143351370362,40.65116572380066
93,0.03686544671654701,0.15296190977096558,0.7531729471452396,40.50846576690674
94,0.03693186864256859,0.14981073141098022,0.7576809765063999,40.58355641365051
95,0.03870541602373123,0.15420001745224,0.7536170756990963,40.45792293548584
96,0.03940371423959732,0.16277259588241577,0.7422962823722626,40.63900876045227
97,0.03844251483678818,0.1542167067527771,0.7544471639025184,40.53127598762512
98,0.03772661089897156,0.15406973659992218,0.7530318995027843,40.511873960494995
99,0.03620677813887596,0.15655499696731567,0.751266794062979,40.59416222572327
